#{"t_start": 1754390739.1912675, "env_id": "None"}
r,l,t
240.945965,7,24.33941
1153.215409,7,24.363418
490.10312,7,24.399163
475.848375,7,24.441388
442.042322,7,24.466181
942.389503,7,24.496909
93.294247,7,24.531853
-165.037139,7,24.551429
1092.614462,7,24.570162
292.60326,7,24.589049
280.251122,7,24.60795
-150.868378,7,24.624679
77.440099,7,24.645635
854.939059,7,24.661783
-92.809379,7,24.676437
799.940426,7,24.692857
500.905487,7,24.709347
574.497588,7,24.725043
664.129529,7,24.747965
791.847521,7,24.782646
197.287577,7,24.811283
178.975506,7,24.832731
-99.369,7,24.880008
470.127516,7,24.913532
473.397231,7,24.936055
1010.058146,7,24.95343
-264.829609,7,24.972139
127.976865,7,24.996518
103.81925,7,25.02679
429.357652,7,25.050871
526.568631,7,25.072979
